,BHAC15,Siess2000,Dotter2008,Tognelli2011,Feiden2016,Feiden2016mag,Chen2014,Bressan2012
0,0.03051830515288184,,,,,0.08500000000000002,0.09,
1,0.03440455933357223,,,,,0.08499999999999999,0.09,
2,0.044941983684760586,,,,0.09,0.085,0.09,
3,0.02332388883077352,,,,,,0.09268289133395427,
4,0.02821056399799513,,,,,0.08500000000000002,0.09057996454889072,
5,0.04201475772739746,,,,,0.085,0.09,
6,0.04505353328527106,,,,0.09,0.085,0.09,
7,0.030962715182894944,,,,,0.085,0.09,
8,0.027063412165425658,,,,,,0.09113028710588772,
9,0.019312155031666497,,,,,,0.09217617632382584,
10,0.02590324750248939,,,,,,0.09168577291973529,
11,0.026678326690261368,,,,,,0.09131466569058892,
12,0.03973280461871852,,,,,0.085,0.09000000000000001,
13,0.04470636745312506,,,,0.09,0.085,0.09,
14,0.02548656120430623,,,,,,0.0918852819505306,
15,0.023877822024990312,,,,,,0.0926555448458243,
16,0.02437030737433478,,,,,,0.09241974329641646,
17,0.028265825653064985,,,,,0.085,0.09055341806187918,
18,0.039883998281953895,,,,,0.085,0.09,
19,0.02901080921647969,,,,,0.085,0.09019554429814566,
20,0.029252595126520703,,,,,0.08500000000000002,0.09007939565018422,
21,0.036942168654350765,,,,,0.085,0.09,
22,0.03497398458973279,,,,,0.085,0.09,
23,0.02676539307198648,,,,,,0.09127297838407422,
24,0.032486033309797484,,,,,0.085,0.09,
25,0.042864873145276594,,,,,0.085,0.09000000000000001,
26,0.02754197633778114,,,,,,0.09090113939635965,
27,0.04368094009487428,,,,,0.085,0.09,
28,0.032764047723854536,,,,,0.085,0.09,
29,0.037008638875203725,,,,,0.085,0.09,
30,0.022458520860082317,,,,,,0.09257723335948193,
31,0.03686567346167495,,,,,0.085,0.09,
32,0.04773083946879322,,0.1,,0.09,0.085,0.09,
33,0.02338924803702272,,,,,,0.09269087024252408,
34,0.026959970018366773,,,,,,0.09117981511435139,
35,0.036854447851385544,,,,,0.085,0.09,
36,0.03432323492332035,,,,,0.085,0.09,
37,0.0264167577808288,,,,,,0.09143990465293209,
38,0.02506484225353466,,,,,,0.09208720061093126,
39,0.03884373629845513,,,,,0.085,0.09,
40,0.034887703674450966,,,,,0.085,0.09,
41,0.034635983095984965,,,,,0.085,0.09,
42,0.033564868746055854,,,,,0.08500000000000002,0.09,
43,0.03441179602307797,,,,,0.085,0.09,
44,0.04598488676472787,,,,0.09,0.08500000000000002,0.09,
45,0.02669817217138615,,,,,,0.09130516369178998,
46,0.04611687559444474,,,,0.09,0.085,0.09,
47,0.04013747222746698,,,,,0.08500000000000002,0.09,
48,0.042511123300467364,,,,,0.08499999999999999,0.09,
49,0.03083234462942885,,,,,0.085,0.09,
50,0.034394498455630584,,,,,0.085,0.09,
51,0.02862189958420228,,,,,0.08500000000000002,0.0903823679553246,
52,0.025815879344865025,,,,,,0.09172760471628347,
53,0.04557265702176769,,,,0.09,0.085,0.09,
54,0.029689142015233712,,,,,0.085,0.09,
55,0.033424145338612814,,,,,0.085,0.09,
56,0.03933022142646278,,,,,0.085,0.09,
57,0.027198068292717707,,,,,,0.09106581387131336,
58,0.023867014675415972,,,,,,0.0926607193952358,
59,0.029668479690049137,,,,,0.085,0.09,
60,0.03722149564076648,,,,,0.085,0.09,
61,0.033943267473831834,,,,,0.085,0.09,
62,0.03595729336719634,,,,,0.085,0.09,
63,0.040840203393761675,,,,,0.08500000000000002,0.09,
64,0.043928360451845005,,,,0.09,0.085,0.09,
65,0.02390864204636884,,,,,,0.09264078824686454,
66,0.03730350384518388,,,,,0.085,0.08999999999999998,
67,0.035615650465729995,,,,,0.085,0.09,
68,0.026172906673179955,,,,,,0.0915566603474618,
69,0.03115270970403032,,,,,0.08499999999999999,0.09,
70,0.03770231887276613,,,,,0.085,0.09,
71,0.038958849022619015,,,,,0.085,0.09,
72,0.026156184648120598,,,,,,0.09156466683826094,
73,0.040117558479335555,,,,,0.085,0.09,
74,0.03609312680223085,,,,,0.085,0.09,
75,0.037735669393310856,,,,,0.085,0.09,
76,0.042576339223659235,,,,,0.085,0.09,
77,0.021878782363031393,,,,,,0.09250644295116912,
78,0.04205927607835648,,,,,0.08500000000000002,0.09,
79,0.039387276376310135,,,,,0.08500000000000002,0.09,
80,0.027163335281599907,,,,,,0.09108244400629723,
81,0.037193019560566046,,,,,0.085,0.09,
82,0.02653502956430939,,,,,,0.09138327622767421,
83,0.0237302563456298,,,,,,0.09272619916250388,
84,0.03662776340569776,,,,,0.085,0.09,
85,0.028473389810520052,,,,,0.08499999999999999,0.09045370879325568,
86,0.019637658123425918,,,,,,0.0922247477523208,
87,0.03498531142264691,,,,,0.085,0.09,
88,0.02818577673828236,,,,,0.085,0.09059187180478423,
89,0.037875833991073735,,,,,0.085,0.09000000000000001,
90,0.042689688216976135,,,,,0.085,0.09,
91,0.027866772193882502,,,,,,0.09074511459101324,
92,0.03172171276118096,,,,,0.085,0.09,
93,0.021291862676407532,,,,,,0.09243474936165086,
94,0.02753671178737462,,,,,,0.09090366837090469,
95,0.02548417427911412,,,,,,0.09188642480820011,
96,0.043426715390494766,,,,,0.08499999999999999,0.09,
97,0.028371248821133503,,,,,0.085,0.09050277508424294,
98,0.0294007533017087,,,,,0.085,0.09000822371245798,
99,0.029545494307167904,,,,,0.085,0.09,
100,0.032953723509566046,,,,,0.085,0.09,
