,BHAC15,Siess2000,Dotter2008,Tognelli2011,Feiden2016,Feiden2016mag,Chen2014,Bressan2012
0,,,,,,,,
1,,,,,,,169.3867568318056,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,267.8844659686793,
6,,,,,,,188.38493888113027,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,295.18064874461464,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,309.17513117302485,
20,,,,,,,,
21,,,,,,,257.9563721773411,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,111.35493765510702,
26,,,,,,,,
27,,,,,,,80.1211117536385,
28,,,,,,,,
29,,,,,,,224.4914965113309,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,168.8070745251959,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,291.9271968705567,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,310.2163667449103,
41,,,,,,,211.51363165958696,
42,,,,,,,,
43,,,,,,,229.18504050452208,
44,,,,,,,190.172920766762,
45,,,,,,,,
46,,,,,,,221.35100071076897,
47,,,,,,,231.49465613951335,
48,,,,,,,165.03491124315735,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,219.18127387724303,
54,,,,,,,292.96136863463556,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,283.8618563699738,
64,,,,,,,110.21364598153838,
65,,,,,,,,
66,,,,,,,289.672137601636,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,229.50360475448372,
74,,,,,,,,
75,,,,,,,243.64286158787567,
76,,,,,,,133.27188484953015,
77,,,,,,,,
78,,,,,,,204.15567013874102,
79,,,,,,,290.6728684153686,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,208.5813306437379,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,199.53228904070107,
88,,,,,,,,
89,,,,,,,309.4333177674048,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,253.99056843690974,
104,,,,,,,,
105,,,,,,,310.6938611041074,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,282.3779331961762,
109,,,,,,,167.6818085749496,
110,,,,,,,174.44328562971828,
111,,,,,,,,
112,,,,,,,149.2902116288004,
113,,,,,,,,
114,,,,,,,168.63326109779604,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,212.6283367406666,
121,,,,,,,200.39038463157223,
122,,,,,,,270.7429439502898,
123,,,,,,,309.4018433538638,
124,,,,,,,,
125,,,,,,,104.22470121783468,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,260.08351328542494,
132,,,,,,,,
133,,,,,,,220.26728571626606,
134,,,,,,,143.8674819304734,
135,,,,,,,225.0476603839864,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,167.30662463192664,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,117.91927594198945,
144,,,,,,,,
145,,,,,,,178.84158243528117,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,204.62876705015387,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,147.63685646431912,
154,,,,,,,,
155,,,,,,,134.66749991008064,
156,,,,,,,255.25988135456095,
157,,,,,,,,
158,,,,,,,193.17866995581304,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,209.65293583655148,
167,,,,,,,176.47125039747166,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,284.0386744422631,
173,,,,,,,,
174,,,,,,,224.21702823165126,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,195.67682566923452,
181,,,,,,,297.87818671236664,
182,,,,,,,291.4860239221692,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,296.32972620588896,
191,,,,,,,,
192,,,,,,,140.87110338466033,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,245.22466350038968,
197,,,,,,,163.29000657022917,
198,,,,,,,301.88492966581816,
199,,,,,,,,
200,,,,,,,142.82458202966745,
201,,,,,,,,
202,,,,,,,269.4749967150609,
203,,,,,,,175.45679080691812,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,299.08203832249416,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,258.62872760361887,
212,,,,,,,183.75988340924079,
213,,,,,,,169.45022745803448,
214,,,,,,,,
215,,,,,,,277.3744909146276,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,219.19164334197697,
219,,,,,,,254.66602176127776,
220,,,,,,,263.244748642587,
221,,,,,,,,
222,,,,,,,204.39888569258488,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,184.18983765203765,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,224.57639818610156,
231,,,,,,,238.41704250735933,
232,,,,,,,127.73997783849047,
233,,,,,,,86.57465907094283,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
