,BHAC15,Siess2000,Dotter2008,Tognelli2011,Feiden2016,Feiden2016mag,Chen2014,Bressan2012
0,,3.1246480789551656,3.18988003183106,3.149273934286943,3.1733888925642346,1.6999999999999997,3.1460215371892555,3.1391241598429254
1,,2.4960983793765115,2.6536414261013705,2.480474457270163,2.587027951815417,1.7000000000000002,2.5832666074570945,2.5794295558911875
2,,3.444782602172195,3.43577039125001,3.4616123735960462,3.4252285298839764,1.6935727492849884,3.409690887336451,3.4085359544027187
3,,3.041411504021383,3.106028097218428,3.0519996999719283,3.0964050174734905,1.7,3.060919754047742,3.0596589688185123
4,,3.469269118031629,3.450234630284364,3.482655033298247,3.442417383519032,1.6930889553224608,3.4248280942648566,3.424553556163156
5,,3.164377385052849,3.224281521451549,3.193473867725502,3.2076021540033355,1.7,3.1847765805098485,3.173911793468993
6,,3.018652826540554,3.083774292581002,3.026472244335052,3.0753980550779243,1.7,3.0385237927190287,3.037300480291293
7,,3.6915461926958746,3.652420348871467,3.747618616115542,3.6619678920629717,,3.6358768427289276,3.6255995616052608
8,,3.5980162641056808,3.5686095995638523,3.6381769080465594,3.5685234196305777,,3.545409291678009,3.537874227435507
9,,3.651021776894975,3.619546980813337,3.699224269457594,3.6223185465242524,,3.601516514870291,3.58900635125774
10,,3.339959076218856,3.365637975328233,3.370036406434475,3.3497643201015124,1.6963442028778917,3.3302718692762543,3.3264172182904312
11,,3.2658023522227344,3.301552896143138,3.289887770781409,3.2862024826962974,1.6986190918316042,3.26333796623124,3.2575831804690183
12,,3.644088030283818,3.613922332070952,3.691367507618974,3.6154242317399126,,3.5945159007753977,3.5823176660320533
13,,3.3538005643137447,3.377133015078136,3.3843386587883,3.3606788550755975,1.695945344188973,3.3415618716811064,3.3384859630235044
14,,2.9553873554297776,3.033506749906753,2.9629592070587463,3.02832398068927,1.7,2.9863716100957305,2.9854947950192883
15,,3.3123451669019732,3.3412245352171044,3.339972644278975,3.3261733044397115,1.6971913084927122,3.3049201266743036,3.3007853298265495
16,,2.736716117268903,2.8621888802392372,2.7478663287615372,2.8382016504014174,1.7,2.8065140974067786,2.8046551085857137
17,,2.9078073285836825,2.9968319963854597,2.9146773762824987,2.99350053076299,1.7,2.9455358300241654,2.946075506945276
18,,3.380857356193893,3.397467616032821,3.408508706676648,3.380023129781935,1.6952397674834598,3.36138578804179,3.3598354418866023
19,,2.8145469269495287,2.9241689269100033,2.82664058286045,2.913400885944742,1.7,2.8702070098108834,2.8706571020552296
20,,3.085181279461289,3.1501214582332997,3.102812492828909,3.1368635915906067,1.7,3.1039576939821063,3.101787672347417
21,,2.9663014851323974,3.0414567828025207,2.9739905012158983,3.035746966585134,1.6999999999999997,2.99525629105548,2.9940712884175835
22,,3.496357974929305,3.4662360779212857,3.505980095607629,3.461125296975338,1.6925189438731172,3.4415740304637006,3.441128453792373
23,,3.5404184447569746,3.506624223887079,3.566686305414495,3.5077269233597534,,3.4840173843505866,3.482312104255304
24,,3.2776843383458827,3.311656512915566,3.3026928980606183,3.296522808350918,1.6982545908460815,3.2732374768650674,3.2686123230486865
25,,2.413411381627405,2.5830322297147137,2.393085767587982,2.504403252659894,1.7,2.475750955655221,2.4766239151042613
26,,3.4381397112028114,3.431846420873338,3.4561108105718823,3.4205654050342895,1.6937459800636416,3.4055843490366122,3.4041905757993915
27,,2.127248069087302,2.3220370539164215,2.084175452276014,2.204651483557176,1.7,2.1864553699639173,2.1837105786079016
28,,3.5420543994183986,3.5081718752447664,3.569109141017275,3.509473303595443,,3.4857611027430835,3.483890238904204
29,,2.841807462070954,2.944982088430602,2.8512171719269057,2.9388249164099918,1.7,2.8918667957027577,2.89251999645833
30,,3.5990632535497986,3.5697464529637246,3.6393279983176274,3.569604574323252,,3.546525248491183,3.538884212832875
31,,3.435057916020714,3.430025997648382,3.453558504580407,3.418402070461809,1.693826345943724,3.403679228208064,3.4021746512710735
32,,3.0306903200822557,3.0955264252316255,3.0397915777212865,3.086509033489583,1.7,3.050377829494554,3.049126306351498
33,,3.3243839789721195,3.351868041506304,3.3531346621170113,3.336458259055777,1.6968219965932863,3.3159727038857825,3.311960041986227
