,BHAC15,Siess2000,Dotter2008,Tognelli2011,Feiden2016,Feiden2016mag,Chen2014,Bressan2012
0,,3.3147273251058555,3.201366494438756,3.3396191516134213,3.212414101060218,1.6920734651131557,3.1963440336004396,3.1929345198893238
1,,3.06664011290274,3.0260224409046947,3.1436884464332033,3.0307159432556023,1.7000000000000002,3.0208311756689787,3.012180458376604
2,,3.3477896983248963,3.2338704753504524,3.3744718761035895,3.2462362588943248,1.6878326267352555,3.2285944910882245,3.22609942380915
3,,3.224249817749544,3.1452764691261788,3.2799750210938345,3.15372753172241,1.6971575622021655,3.1402356555780755,3.134311992289386
4,,3.4353616186690363,3.3068903235212055,3.452203322556718,3.323200419636895,,3.300720525148313,3.299131664051834
5,,3.159053269029068,3.0995258341218612,3.229385627389192,3.106272005549048,1.7,3.0953565966504497,3.0920695986993927
6,,3.166969621986623,3.1057048690054723,3.235890444686864,3.1123080729095154,1.7,3.10100818204348,3.0971987919464783
7,,3.4091611354398514,3.284242726251298,3.4287176974826825,3.299536502837366,,3.2777298334203624,3.276495692674289
8,,3.4180875901448573,3.2927203337249957,3.437550803310466,3.3084265129138637,,3.286766717551628,3.2849929787666587
9,,3.4679867167567835,3.334228695162378,3.481950624417806,3.352642258743203,,3.3285897022358073,3.3284145118687474
10,,3.347377651686874,3.2335726880860207,3.374122670219794,3.245910544960337,1.6879799789405139,3.228305953045196,3.2257802063090675
11,,3.4171536938583325,3.2919963551146636,3.436782636519731,3.3075948353857925,,3.285858548681924,3.284228590444288
12,,3.5008791739310747,3.3648616430152627,3.514606853346897,3.384332372155468,,3.3597618545370143,3.360104523721402
13,,3.3851690230831646,3.260399762159449,3.403804697807564,3.2746661676454862,,3.254922225747194,3.253812118109769
14,,3.3000977100843403,3.19298159917587,3.3308461560357525,3.203399971533341,1.6928955300143396,3.1880302240880267,3.1834556445816986
15,,3.4573439775070716,3.323924576709679,3.470680641408593,3.341443781761209,,3.31765928855708,3.3171240885173687
16,,3.0674568897775183,3.0267699120572855,3.1445354091059166,3.0314214229844243,1.7,3.021550772556515,3.012897423685151
17,,3.163025890877126,3.1026266267608658,3.2327023523055667,3.109327755903741,1.7,3.0981927020804245,3.0946435548210482
18,,3.4019158773342006,3.27427044586668,3.4182565824962103,3.2891026169866624,,3.2687143409283426,3.2668669158473613
19,,3.2267749222421176,3.147000144986907,3.2818570052524914,3.1554801304689377,1.6970156719492702,3.141747039266965,3.1359480675100007
20,,3.06608121930042,3.025510970932905,3.1431088976802934,3.030233206636606,1.7,3.020338779141711,3.011689862552449
21,,3.199194717586778,3.128707805928655,3.2614049002544343,3.1360777430815947,1.6985654542354942,3.123051213817916,3.118078197352632
22,,3.51908722394827,3.3827373858917564,3.5340655713674427,3.4031087863057237,,3.3782105700842484,3.378628864356512
23,,3.4315467627157092,3.303657992225157,3.449023351979029,3.3200546351808637,,3.2976948294495663,3.2960092280979465
24,,3.4407841533271823,3.311009516681639,3.456727863087552,3.3277247197569233,,3.304587777381439,3.303569975061462
25,,3.118179530891536,3.0676222220508054,3.194319450010129,3.074052554961643,1.6999999999999997,3.063935464046661,3.0574216691181597
26,,3.4369377951837157,3.308140480111616,3.4536613031031833,3.324513882771291,,3.3018426155600435,3.3004217547601917
27,,2.9972380709802655,2.920527351685236,3.0252974736076186,2.9251574149759376,1.7,2.908628440268978,2.896442252581126
28,,3.4330679647486635,3.304946908241617,3.450364837205094,3.32130904000461,,3.299082869451849,3.2972543225337354
29,,3.0,2.951880688411625,3.059756466502484,2.9569219450173296,1.7,2.9424040193465233,2.9305040196498138
30,,3.428680845130561,3.3012296973653497,3.4466140206805744,3.3176676010124417,,3.2950797867627593,3.2936634923170347
31,,3.4638947862443437,3.330670637158716,3.4778719585402027,3.348682486611123,,3.325074976329863,3.324379520170708
32,,3.3912012755987857,3.2648508899485624,3.4082085659037493,3.279027236037721,,3.2587082005283543,3.257744615492424
33,,3.4039004717852954,3.276816383808585,3.4210818638215175,3.2919067343216355,,3.2711568576948764,3.2694336200957834
34,,3.2181878250474534,3.1412677397762936,3.275648338877872,3.1495223445888776,1.6974981966907896,3.136607292110722,3.1303842831285946
35,,3.2926066041449378,3.1885191650708387,3.3260015435651384,3.198753130784301,1.693316468996997,3.18331529373612,3.178601978985483
36,,3.020897330597407,2.9844013764161015,3.097068161903232,2.9901478085232203,1.6999999999999997,2.9793531980557644,2.96803361972484
37,,3.523697645043569,3.387370889274563,3.539057191740157,3.407955708557239,,3.382980278184892,3.3833735157537888
38,,3.509123810112932,3.3727240897619497,3.5232370294006508,3.392688715435785,,3.3679553313010824,3.368375370283339
39,,3.2661863147561565,3.1727806611186846,3.3088128008695854,3.1819070423545366,1.6948010735169177,3.1669765944871715,3.16148364549965
40,,3.1702323945804167,3.108251595481974,3.2385455964727066,3.1147490607953037,1.7,3.103337517032803,3.099312819863701
41,,3.044629569960648,3.0058795519345116,3.121388842290272,3.0114245117443312,1.7,3.0014394437490184,2.9924638512954562
42,,3.3428144876113177,3.2291010656395382,3.3692458409710038,3.2411799739009153,1.689584799226975,3.2233355308142824,3.2211439874987136
43,,3.168833699450823,3.1071598571469563,3.2374073780512767,3.1137008264433974,1.7,3.1023389707317355,3.0984065720432827
44,,3.284428194652846,3.1836473058637145,3.320949971009724,3.193589850134177,1.6937760288269088,3.1781677719340626,3.1733029930807795
45,,3.5036907629607517,3.367473892554641,3.5174583676253035,3.387053155612893,,3.3624594071337803,3.3627841424476967
46,,3.2341541840685606,3.152152176041673,3.2871783024105374,3.1605950446535367,1.6966010176924602,3.1457922212889775,3.1407292666469773
47,,3.312469123471701,3.200094097311301,3.3382183080901235,3.2110546420564985,1.6922003576048927,3.1950155137472205,3.191471377374764
48,,3.1674230018933134,3.106058750429657,3.2362593923944676,3.1126468176662976,1.6999999999999997,3.1013318557442213,3.0974925475645296
49,,3.3295319434217685,3.2108640554853767,3.350198268755273,3.2225273396997594,1.6911263007722235,3.20609231043731,3.203289473402758
50,,3.314470275234324,3.201221658161427,3.339445878539659,3.2122593545765676,1.6920879092169088,3.19619280890357,3.192767971167672
51,,3.0815399453822128,3.039657982385792,3.1590941195200015,3.0435953971445215,1.7000000000000002,3.0338380619563994,3.0252595052017788
52,,3.0448781059194117,3.006106998946411,3.1216358828809767,3.0116453584463683,1.7,3.0016584089375424,2.9926941086108503
